Unnamed: 0,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep,Day Label,Active exercise,Sleep Bucket,Awake Bucket,% Awake,% Restorative sleep,Restorative sleep mins,Total Sleep Minutes,Total Activity Minutes,Total Sleep Hours,Total Activity Hours
47,2018-08-10,5,True,False,3046,1680,8817,5.86,21.34,59.0,7,1154,193,22,71,1546,-1,14.0,148.83075,159.0,906.17499,0.0,0.0,1403.44479,789.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Fri,True,,,,,,0.0,286,0.0,4.766666666666667
48,2018-08-11,6,False,True,3186,1680,12643,8.32,94.49,58.0,31,1104,249,33,54,1744,-1,14.0,153.35694,149.0,916.87376,1.0,12.37126,2067.75107,1248.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Sat,True,,,,,,0.0,336,0.0,5.6
49,2018-08-12,7,False,True,2094,1680,2456,1.52,9.14,59.0,3,1308,132,0,0,506,-1,0.0,0.0,15.0,60.2172,0.0,0.0,851.0931,416.0,95.0,371.0,0.0,2018-08-12T23:23:30.000,2018-08-13T06:33:30.000,430.0,80.0,4.0,205.0,34.0,86.0,6.0,59.0,33.0,19.0,48.0,20.0,Sun,False,23.5,7.0,13.0,39.0,166.0,371.0,132,6.183333333333334,2.2
50,2018-08-13,1,True,False,2733,1680,6609,3.94,33.53,60.0,11,762,183,44,21,1179,-1,0.0,0.0,126.0,696.00136,0.0,0.0,1906.27104,1202.0,95.0,371.0,0.0,2018-08-13T22:46:30.000,2018-08-14T05:40:00.000,413.0,47.0,3.0,259.0,25.0,65.0,8.0,42.0,26.0,12.0,63.0,16.0,Mon,False,23.0,6.0,9.0,28.0,112.0,371.0,248,6.183333333333334,4.133333333333334
51,2018-08-14,2,True,False,3770,1680,12875,8.75,24.38,61.0,8,626,206,75,120,2384,-1,22.0,229.68528,301.0,1649.46243,8.0,105.039,1679.34019,1051.0,95.0,384.0,0.0,2018-08-14T23:24:30.000,2018-08-15T06:34:30.000,430.0,97.0,5.0,220.0,27.0,67.0,9.0,46.0,31.0,23.0,52.0,16.0,Tue,True,23.5,7.0,9.0,39.0,164.0,384.0,401,6.4,6.683333333333334
52,2018-08-15,3,True,False,2961,1680,8611,5.34,12.19,62.0,4,715,180,63,52,1512,-1,8.0,54.62964,161.0,968.15862,0.0,0.0,1885.88988,1227.0,99.0,378.0,0.0,2018-08-15T23:11:30.000,2018-08-16T06:09:00.000,417.0,86.0,5.0,198.0,26.0,94.0,3.0,39.0,25.0,21.0,48.0,23.0,Wed,True,23.5,6.5,8.0,44.0,180.0,378.0,295,6.3,4.916666666666667
53,2018-08-16,4,True,False,2914,1680,6952,4.25,21.34,63.0,7,724,241,43,15,1399,-1,7.0,46.22112,152.0,778.98928,1.0,6.53632,2051.00384,1256.0,90.0,393.0,0.0,2018-08-16T22:16:30.000,2018-08-17T06:01:30.000,465.0,106.0,5.0,211.0,32.0,76.0,6.0,72.0,30.0,23.0,46.0,17.0,Thu,False,22.5,6.5,14.0,40.0,182.0,393.0,299,6.55,4.983333333333333
54,2018-08-17,5,True,False,2320,1680,4447,2.65,9.14,63.0,3,796,179,0,0,714,-1,0.0,0.0,75.0,194.7723,0.0,0.0,2112.3867,1354.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Fri,False,,,,,,0.0,179,0.0,2.9833333333333334
55,2018-08-18,6,False,True,3163,1680,15528,10.22,18.29,64.0,6,1113,182,59,86,1801,-1,3.0,30.3498,200.0,1279.01061,0.0,0.0,843.37425,378.0,91.0,355.0,0.0,2018-08-19T02:22:30.000,2018-08-19T09:07:30.000,405.0,84.0,3.0,190.0,27.0,81.0,6.0,50.0,28.0,21.0,47.0,20.0,Sat,True,2.5,9.5,12.0,41.0,165.0,355.0,327,5.916666666666667,5.45
56,2018-08-19,7,False,True,2927,1680,12424,8.27,15.24,65.0,5,715,271,34,15,1511,-1,0.0,0.0,130.0,733.23504,0.0,0.0,2022.7576,1169.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Sun,False,,,,,,0.0,320,0.0,5.333333333333333
